phase,model,accuracy,f1,n_samples
opening,Naive Bayes,0.6692480688373912,0.6457361709001137,51186
opening,Logistic Regression,0.6601285352096067,0.6426952908053654,50881
opening,Random Forest,0.6882523624671607,0.6739586245761399,50968
middlegame,Naive Bayes,0.6713728140944573,0.6606764799667579,90356
middlegame,Logistic Regression,0.6670271439385747,0.6488665980077679,92470
middlegame,Random Forest,0.7153852862936636,0.6783228949963602,92383
endgame,Naive Bayes,0.6873068226606095,0.6469287525772113,48096
endgame,Logistic Regression,0.7035384124960153,0.661882409131779,47055
endgame,Random Forest,0.762054912054912,0.7134826708301911,48051
