game_uuid,game_url,archive_month,game_year,game_month,game_end_timestamp,game_end_datetime_utc,rated,rules,time_class,time_control_raw,time_control_base_seconds,time_control_increment_seconds,eco_url,eco_code,opening_name,white_username,black_username,white_rating,black_rating,rating_diff,white_accuracy,black_accuracy,result_raw,termination,ply_index,fullmove_number,side_to_move,side_to_move_name,san_move,uci_move,is_capture,is_check,is_checkmate,is_castling,is_promotion,promotion_piece,from_square,to_square,piece_moved,board_fen_before,board_fen_after,active_color_before,castling_rights_before,en_passant_square_before,halfmove_clock_before,fullmove_number_before,legal_moves_count_before,material_white_before,material_black_before,material_diff_before,white_clock_seconds_after,black_clock_seconds_after,clock_seconds_after_for_side_to_move,side_to_move_clock_before,time_spent_on_move_seconds,clock_remaining_pct,avg_time_spent_per_move_so_far,is_in_time_trouble_30s,end_hour_utc,end_weekday_utc,white_pawns_before,white_knights_before,white_bishops_before,white_rooks_before,white_queens_before,black_pawns_before,black_knights_before,black_bishops_before,black_rooks_before,black_queens_before,white_doubled_pawns_before,black_doubled_pawns_before,doubled_pawns_diff_before,white_isolated_pawns_before,black_isolated_pawns_before,isolated_pawns_diff_before,white_passed_pawns_before,black_passed_pawns_before,passed_pawns_diff_before,white_pawn_shield_score_before,black_pawn_shield_score_before,pawn_shield_diff_before,white_king_tropism_before,black_king_tropism_before,king_tropism_diff_before,white_can_castle_kingside_before,white_can_castle_queenside_before,black_can_castle_kingside_before,black_can_castle_queenside_before,in_check_before,is_opening_phase,is_middlegame_phase,is_endgame_phase,ply_bucket,total_piece_count_before,non_pawn_material_white_before,non_pawn_material_black_before,non_pawn_material_diff_before,bishops_pair_white_before,bishops_pair_black_before,side_to_move_rating,opponent_rating,side_to_move_rating_diff,final_result_class,white_won_flag,black_won_flag,draw_flag
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,12,6,b,black,Nxe4,f6e4,True,False,False,False,False,,f6,e4,knight,r1bqk2r/ppp2ppp/2n2n2/1B1pp3/1b1PP3/5N2/PPP2PPP/RNBQ1K1R b kq - 1 6,r1bqk2r/ppp2ppp/2n5/1B1pp3/1b1Pn3/5N2/PPP2PPP/RNBQ1K1R w kq - 0 7,b,kq,-,1,6,38,39,39,0,524.2,474.2,474.2,492.2,18.0,0.8203333333333334,21.560000000000002,False,10,Monday,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,1.2214285714285713,1.2476190476190474,-0.026190476190476097,False,False,True,True,False,True,False,False,0011-0020,32,31,31,0,True,True,322,546,-224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,13,7,w,white,Bxc6+,b5c6,True,True,False,False,False,,b5,c6,bishop,r1bqk2r/ppp2ppp/2n5/1B1pp3/1b1Pn3/5N2/PPP2PPP/RNBQ1K1R w kq - 0 7,r1bqk2r/ppp2ppp/2B5/3pp3/1b1Pn3/5N2/PPP2PPP/RNBQ1K1R b kq - 0 7,w,kq,-,0,7,37,38,39,-1,497.6,474.2,497.6,524.2,26.600000000000023,0.8736666666666667,12.633333333333326,False,10,Monday,7,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,1.3547619047619046,1.2476190476190474,0.1071428571428572,False,False,True,True,False,True,False,False,0011-0020,31,31,31,0,True,True,546,322,224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,14,7,b,black,bxc6,b7c6,True,False,False,False,False,,b7,c6,pawn,r1bqk2r/ppp2ppp/2B5/3pp3/1b1Pn3/5N2/PPP2PPP/RNBQ1K1R b kq - 0 7,r1bqk2r/p1p2ppp/2p5/3pp3/1b1Pn3/5N2/PPP2PPP/RNBQ1K1R w kq - 0 8,b,kq,-,0,7,5,38,36,2,497.6,472.3,472.3,474.2,1.8999999999999773,0.7903333333333333,20.96666666666667,False,10,Monday,7,2,2,2,1,8,1,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,1.1547619047619044,1.4142857142857141,-0.2595238095238097,False,False,True,True,True,True,False,False,0011-0020,30,31,28,3,True,True,322,546,-224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,15,8,w,white,dxe5,d4e5,True,False,False,False,False,,d4,e5,pawn,r1bqk2r/p1p2ppp/2p5/3pp3/1b1Pn3/5N2/PPP2PPP/RNBQ1K1R w kq - 0 8,r1bqk2r/p1p2ppp/2p5/3pP3/1b2n3/5N2/PPP2PPP/RNBQ1K1R b kq - 0 8,w,kq,-,0,8,31,35,36,-1,493.8,472.3,493.8,497.6,3.8000000000000114,0.8293333333333334,14.628571428571425,False,10,Monday,7,2,1,2,1,8,1,2,2,1,0,2,-2,0,1,-1,0,0,0,2,1,1,1.1547619047619044,0.9142857142857141,0.2404761904761903,False,False,True,True,False,True,False,False,0011-0020,29,28,28,0,False,True,546,322,224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,16,8,b,black,Bg4,c8g4,False,False,False,False,False,,c8,g4,bishop,r1bqk2r/p1p2ppp/2p5/3pP3/1b2n3/5N2/PPP2PPP/RNBQ1K1R b kq - 0 8,r2qk2r/p1p2ppp/2p5/3pP3/1b2n1b1/5N2/PPP2PPP/RNBQ1K1R w kq - 1 9,b,kq,-,0,8,47,35,35,0,493.8,438.0,438.0,472.3,34.30000000000001,0.7871666666666667,18.24285714285714,False,10,Monday,7,2,1,2,1,7,1,2,2,1,0,2,-2,0,1,-1,0,0,0,2,1,1,1.1547619047619044,0.9142857142857141,0.2404761904761903,False,False,True,True,False,True,False,False,0011-0020,28,28,28,0,False,True,322,546,-224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,17,9,w,white,Qe2,d1e2,False,False,False,False,False,,d1,e2,queen,r2qk2r/p1p2ppp/2p5/3pP3/1b2n1b1/5N2/PPP2PPP/RNBQ1K1R w kq - 1 9,r2qk2r/p1p2ppp/2p5/3pP3/1b2n1b1/5N2/PPP1QPPP/RNB2K1R b kq - 2 9,w,kq,-,1,9,32,35,35,0,428.5,438.0,428.5,493.8,65.30000000000001,0.8230000000000001,13.274999999999999,False,10,Monday,7,2,1,2,1,7,1,2,2,1,0,2,-2,0,1,-1,0,0,0,2,1,1,1.345238095238095,0.9142857142857141,0.43095238095238075,False,False,True,True,False,True,False,False,0011-0020,28,28,28,0,False,True,546,322,224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,18,9,b,black,Qe7,d8e7,False,False,False,False,False,,d8,e7,queen,r2qk2r/p1p2ppp/2p5/3pP3/1b2n1b1/5N2/PPP1QPPP/RNB2K1R b kq - 2 9,r3k2r/p1p1qppp/2p5/3pP3/1b2n1b1/5N2/PPP1QPPP/RNB2K1R w kq - 3 10,b,kq,-,2,9,50,35,35,0,428.5,381.7,381.7,438.0,56.30000000000001,0.73,20.25,False,10,Monday,7,2,1,2,1,7,1,2,2,1,0,2,-2,0,1,-1,0,0,0,2,1,1,1.345238095238095,0.938095238095238,0.4071428571428569,False,False,True,True,False,True,False,False,0011-0020,28,28,28,0,False,True,322,546,-224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,19,10,w,white,c3,c2c3,False,False,False,False,False,,c2,c3,pawn,r3k2r/p1p1qppp/2p5/3pP3/1b2n1b1/5N2/PPP1QPPP/RNB2K1R w kq - 3 10,r3k2r/p1p1qppp/2p5/3pP3/1b2n1b1/2P2N2/PP2QPPP/RNB2K1R b kq - 0 10,w,kq,-,3,10,34,35,35,0,413.7,381.7,413.7,428.5,14.800000000000011,0.7141666666666666,19.055555555555557,False,10,Monday,7,2,1,2,1,7,1,2,2,1,0,2,-2,0,1,-1,0,0,0,2,1,1,1.3690476190476188,0.938095238095238,0.43095238095238086,False,False,True,True,False,True,False,False,0011-0020,28,28,28,0,False,True,546,322,224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,20,10,b,black,Bc5,b4c5,False,False,False,False,False,,b4,c5,bishop,r3k2r/p1p1qppp/2p5/3pP3/1b2n1b1/2P2N2/PP2QPPP/RNB2K1R b kq - 0 10,r3k2r/p1p1qppp/2p5/2bpP3/4n1b1/2P2N2/PP2QPPP/RNB2K1R w kq - 1 11,b,kq,-,0,10,50,35,35,0,413.7,370.8,370.8,381.7,10.899999999999977,0.6361666666666667,24.255555555555556,False,10,Monday,7,2,1,2,1,7,1,2,2,1,0,2,-2,0,1,-1,0,0,0,2,1,1,1.3690476190476188,0.938095238095238,0.43095238095238086,False,False,True,True,False,True,False,False,0011-0020,28,28,28,0,False,True,322,546,-224,white_win,1,0,0
bdac15fa-7a05-11ed-a664-78ac4409ff3c,https://www.chess.com/game/live/64578824913,2022-12,2022,12,1670840736,2022-12-12T10:25:36+00:00,True,chess,rapid,600,600,0,https://www.chess.com/openings/Scotch-Game,C45,Scotch Game,Tirex300,Slick002,546,322,224,46.14,32.01,pgn:1-0 | white:win | black:resigned,Tirex300 won by resignation,21,11,w,white,h3,h2h3,False,False,False,False,False,,h2,h3,pawn,r3k2r/p1p1qppp/2p5/2bpP3/4n1b1/2P2N2/PP2QPPP/RNB2K1R w kq - 1 11,r3k2r/p1p1qppp/2p5/2bpP3/4n1b1/2P2N1P/PP2QPP1/RNB2K1R b kq - 0 11,w,kq,-,1,11,35,35,35,0,370.9,370.8,370.9,413.7,42.80000000000001,0.6895,18.630000000000003,False,10,Monday,7,2,1,2,1,7,1,2,2,1,0,2,-2,0,1,-1,0,0,0,2,1,1,1.369047619047619,0.938095238095238,0.4309523809523811,False,False,True,True,False,False,True,False,0021-0030,28,28,28,0,False,True,546,322,224,white_win,1,0,0
